"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9BQ95","ECSIT","3.2517996","1.1573015"
"P82664","MRPS10","3.2175367","1.1568205"
"Q96B26","EXOSC8","4.0193114","1.1549544"
"P48729","CSNK1A1","4.468074","1.1546663"
"P15336","ATF2","2.6802487","1.1542667"
"P55010","EIF5","7.028763","1.1538718"
"P26641","EEF1G","8.172367","1.1531594"
"P51946","CCNH","2.3587427","1.1501614"
"P41214","EIF2D","3.3248484","1.1490785"
"Q9Y3E5","PTRH2","4.8208866","1.148594"
"Q7L513","FCRLA","3.4737477","1.1479417"
"P0DMB2","C8orf88","3.5522714","1.1476505"
"Q6IAN0","DHRS7B","3.265371","1.1466701"
"Q9Y3D7","PAM16","5.5670366","1.145281"
"P55058","PLTP","3.0365963","1.144199"
"Q9Y4P3","TBL2","5.0415964","1.1424235"
"O95352","ATG7","2.9285717","1.1414067"
"Q9Y673","ALG5","3.8213534","1.1399202"
"P59190","RAB15","8.178462","1.1395334"
"Q14696","MESD","5.480026","1.1389594"
"Q9UEU0","VTI1B","4.1604033","1.1388391"
"Q9C0B5","ZDHHC5","3.2421885","1.1387157"
"P61106","RAB14","5.606466","1.1386225"
"P12268","IMPDH2","8.407726","1.1375788"
"P42285","MTREX","5.106737","1.1367782"
"P16220","CREB1","3.5078063","1.1359063"
"Q8N0U8","VKORC1L1","3.5762193","1.1329333"
"O15127","SCAMP2","5.0709476","1.1308675"
"O95139","NDUFB6","3.9960136","1.1302513"
"Q14676","MDC1","4.67689","1.127882"
"P82094","TMF1","3.3795269","1.1269212"
"P60953","CDC42","7.189937","1.1245784"
"Q3ZAQ7","VMA21","3.9070203","1.1239512"
"Q8NEF9","SRFBP1","3.4964182","1.1239074"
"Q9Y6K0","CEPT1","4.8155103","1.12293"
"Q5VZL5","ZMYM4","3.2884955","1.1217337"
"Q15287","RNPS1","4.694919","1.1207371"
"P53804","TTC3","5.601019","1.1206589"
"Q5SWX8","ODR4","3.016288","1.1206375"
"O43663","PRC1","3.5576212","1.1206282"
"Q92616","GCN1","5.374718","1.1182905"
"A4D1E9","GTPBP10","3.3032815","1.1175822"
"P51965","UBE2E1","3.200759","1.1169702"
"Q8N5M1","ATPAF2","2.404845","1.1147765"
"Q9GZL7","WDR12","5.281101","1.1144434"
"Q8NHZ8","CDC26","2.2015004","1.1140075"
"Q96HR9","REEP6","4.6458745","1.1125667"
"P23634","ATP2B4","3.8665366","1.112271"
"Q9H0A0","NAT10","5.674652","1.111978"
"A3KN83","SBNO1","1.9120808","1.1118374"
"Q9UL26","RAB22A","2.214424","1.110411"
"Q13443","ADAM9","5.223001","1.1103561"
"O00471","EXOC5","2.873014","1.1031052"
"A0AV96","RBM47","4.170204","1.1019397"
"P17275","JUNB","4.445905","1.1016532"
"Q9BTX1","NDC1","3.0821629","1.1014934"
"Q9Y584","TIMM22","2.6927474","1.1003017"
"Q9Y2V7","COG6","3.2882776","1.0981251"
"O75533","SF3B1","5.8699617","1.0978521"
"P41227","NAA10","4.0614753","1.0977122"
"Q8IWB9","TEX2","5.0301967","1.0968003"
"Q15528","MED22","3.3336644","1.0962483"
"P29692","EEF1D","9.341013","1.0960417"
"P60510","PPP4C","3.3068888","1.095119"
"O00425","IGF2BP3","6.2278895","1.0948681"
"Q9Y676","MRPS18B","4.329504","1.0946655"
"P49768","PSEN1","2.6696403","1.09447"
"P09543","CNP","5.7134047","1.093088"
